# Lagarith range-coder reciprocal-multiply LUT (extraction artefact)
#
# Source binary (x86-64): reference/binaries/system32/lagarith.dll
#   SHA-256: f90f371146ee0b762e4d0c95b336cad2dcff8802953e8667ed0b16389b1dd89c
#   RVA:        0x0001b9a0
#   File offset: 0x0001ada0
# Source binary (i386):  reference/binaries/syswow64/lagarith.dll
#   SHA-256: bac1ea74a9763008f44d3d0f2951ba9a44853e0d72164521a74dc7dd1df20bcc
#   RVA:        0x0002e870
#   File offset: 0x0002d270
# Cross-arch byte-equivalence: IDENTICAL
#
# Total entries: 2048 (each entry is one little-endian uint32)
# Total bytes:   8192
# Tool: extract-luts.sh (this script) + python3 struct.unpack('<2048I', ...)
#
# Columns: index, value_hex, value_dec
# value is the 32-bit little-endian word at file offset (T0_OFF + index*4).
index,value_hex,value_dec
267,0x00f57403,16086019
268,0x00f4898d,16025997
269,0x00f3a0d5,15966421
270,0x00f2b9d6,15907286
271,0x00f1d48b,15848587
272,0x00f0f0f0,15790320
273,0x00f00f00,15732480
274,0x00ef2eb7,15675063
275,0x00ee500e,15618062
276,0x00ed7303,15561475
277,0x00ec9791,15505297
278,0x00ebbdb2,15449522
279,0x00eae564,15394148
280,0x00ea0ea0,15339168
281,0x00e93965,15284581
282,0x00e865ac,15230380
283,0x00e79372,15176562
284,0x00e6c2b4,15123124
285,0x00e5f36c,15070060
286,0x00e52598,15017368
287,0x00e45932,14965042
288,0x00e38e38,14913080
289,0x00e2c4a6,14861478
290,0x00e1fc78,14810232
291,0x00e135a9,14759337
292,0x00e07038,14708792
293,0x00dfac1f,14658591
294,0x00dee95c,14608732
295,0x00de27eb,14559211
296,0x00dd67c8,14510024
297,0x00dca8f1,14461169
298,0x00dbeb61,14412641
299,0x00db2f17,14364439
300,0x00da740d,14316557
301,0x00d9ba42,14268994
302,0x00d901b2,14221746
303,0x00d84a59,14174809
304,0x00d79435,14128181
305,0x00d6df43,14081859
306,0x00d62b80,14035840
307,0x00d578e9,13990121
308,0x00d4c77b,13944699
309,0x00d41732,13899570
310,0x00d3680d,13854733
311,0x00d2ba08,13810184
312,0x00d20d20,13765920
313,0x00d16154,13721940
314,0x00d0b69f,13678239
315,0x00d00d00,13634816
316,0x00cf6474,13591668
317,0x00cebcf8,13548792
318,0x00ce168a,13506186
319,0x00cd7127,13463847
320,0x00cccccc,13421772
321,0x00cc2978,13379960
322,0x00cb8727,13338407
323,0x00cae5d8,13297112
324,0x00ca4587,13256071
325,0x00c9a633,13215283
326,0x00c907da,13174746
327,0x00c86a78,13134456
328,0x00c7ce0c,13094412
329,0x00c73293,13054611
330,0x00c6980c,13015052
331,0x00c5fe74,12975732
332,0x00c565c8,12936648
333,0x00c4ce07,12897799
334,0x00c4372f,12859183
335,0x00c3a13d,12820797
336,0x00c30c30,12782640
337,0x00c27806,12744710
338,0x00c1e4bb,12707003
339,0x00c15250,12669520
340,0x00c0c0c0,12632256
341,0x00c0300c,12595212
342,0x00bfa02f,12558383
343,0x00bf112a,12521770
344,0x00be82fa,12485370
345,0x00bdf59c,12449180
346,0x00bd6910,12413200
347,0x00bcdd53,12377427
348,0x00bc5264,12341860
349,0x00bbc840,12306496
350,0x00bb3ee7,12271335
351,0x00bab656,12236374
352,0x00ba2e8b,12201611
353,0x00b9a786,12167046
354,0x00b92143,12132675
355,0x00b89bc3,12098499
356,0x00b81702,12064514
357,0x00b79300,12030720
358,0x00b70fbb,11997115
359,0x00b68d31,11963697
360,0x00b60b60,11930464
361,0x00b58a48,11897416
362,0x00b509e6,11864550
363,0x00b48a39,11831865
364,0x00b40b40,11799360
365,0x00b38cf9,11767033
366,0x00b30f63,11734883
367,0x00b2927c,11702908
368,0x00b21642,11671106
369,0x00b19ab5,11639477
370,0x00b11fd3,11608019
371,0x00b0a59b,11576731
372,0x00b02c0b,11545611
373,0x00afb321,11514657
374,0x00af3add,11483869
375,0x00aec33e,11453246
376,0x00ae4c41,11422785
377,0x00add5e6,11392486
378,0x00ad602b,11362347
379,0x00aceb0f,11332367
380,0x00ac7691,11302545
381,0x00ac02b0,11272880
382,0x00ab8f69,11243369
383,0x00ab1cbd,11214013
384,0x00aaaaaa,11184810
385,0x00aa392f,11155759
386,0x00a9c84a,11126858
387,0x00a957fa,11098106
388,0x00a8e83f,11069503
389,0x00a87917,11041047
390,0x00a80a80,11012736
391,0x00a79c7b,10984571
392,0x00a72f05,10956549
393,0x00a6c21d,10928669
394,0x00a655c4,10900932
395,0x00a5e9f6,10873334
396,0x00a57eb5,10845877
397,0x00a513fd,10818557
398,0x00a4a9cf,10791375
399,0x00a44029,10764329
400,0x00a3d70a,10737418
401,0x00a36e71,10710641
402,0x00a3065e,10683998
403,0x00a29ecf,10657487
404,0x00a237c3,10631107
405,0x00a1d139,10604857
406,0x00a16b31,10578737
407,0x00a105a9,10552745
408,0x00a0a0a0,10526880
409,0x00a03c16,10501142
410,0x009fd809,10475529
411,0x009f747a,10450042
412,0x009f1165,10424677
413,0x009eaecc,10399436
414,0x009e4cad,10374317
415,0x009deb06,10349318
416,0x009d89d8,10324440
417,0x009d2921,10299681
418,0x009cc8e1,10275041
419,0x009c6916,10250518
420,0x009c09c0,10226112
421,0x009baade,10201822
422,0x009b4c6f,10177647
423,0x009aee72,10153586
424,0x009a90e7,10129639
425,0x009a33cd,10105805
426,0x0099d722,10082082
427,0x00997ae7,10058471
428,0x00991f1a,10034970
429,0x0098c3ba,10011578
430,0x009868c8,9988296
431,0x00980e41,9965121
432,0x0097b425,9942053
433,0x00975a75,9919093
434,0x0097012e,9896238
435,0x0096a850,9873488
436,0x00964fda,9850842
437,0x0095f7cc,9828300
438,0x0095a025,9805861
439,0x009548e4,9783524
440,0x0094f209,9761289
441,0x00949b92,9739154
442,0x00944580,9717120
443,0x0093efd1,9695185
444,0x00939a85,9673349
445,0x0093459b,9651611
446,0x0092f113,9629971
447,0x00929ceb,9608427
448,0x00924924,9586980
449,0x0091f5bc,9565628
450,0x0091a2b3,9544371
451,0x00915009,9523209
452,0x0090fdbc,9502140
453,0x0090abcc,9481164
454,0x00905a38,9460280
455,0x00900900,9439488
456,0x008fb823,9418787
457,0x008f67a1,9398177
458,0x008f1779,9377657
459,0x008ec7ab,9357227
460,0x008e7835,9336885
461,0x008e2917,9316631
462,0x008dda52,9296466
463,0x008d8be3,9276387
464,0x008d3dcb,9256395
465,0x008cf008,9236488
466,0x008ca29c,9216668
467,0x008c5584,9196932
468,0x008c08c0,9177280
469,0x008bbc50,9157712
470,0x008b7034,9138228
471,0x008b246a,9118826
472,0x008ad8f2,9099506
473,0x008a8dcd,9080269
474,0x008a42f8,9061112
475,0x0089f874,9042036
476,0x0089ae40,9023040
477,0x0089645c,9004124
478,0x00891ac7,8985287
479,0x0088d180,8966528
480,0x00888888,8947848
481,0x00883fdd,8929245
482,0x0087f780,8910720
483,0x0087af6f,8892271
484,0x008767ab,8873899
485,0x00872032,8855602
486,0x0086d905,8837381
487,0x00869222,8819234
488,0x00864b8a,8801162
489,0x0086053c,8783164
490,0x0085bf37,8765239
491,0x0085797b,8747387
492,0x00853408,8729608
493,0x0084eedd,8711901
494,0x0084a9f9,8694265
495,0x0084655d,8676701
496,0x00842108,8659208
497,0x0083dcf9,8641785
498,0x00839930,8624432
499,0x008355ac,8607148
500,0x0083126e,8589934
501,0x0082cf75,8572789
502,0x00828cbf,8555711
503,0x00824a4e,8538702
504,0x00820820,8521760
505,0x0081c635,8504885
506,0x0081848d,8488077
507,0x00814327,8471335
508,0x00810204,8454660
509,0x0080c121,8438049
510,0x00808080,8421504
511,0x00804020,8405024
512,0x00800000,8388608
513,0x007fc01f,8372255
514,0x007f807f,8355967
515,0x007f411e,8339742
516,0x007f01fc,8323580
517,0x007ec318,8307480
518,0x007e8472,8291442
519,0x007e460a,8275466
520,0x007e07e0,8259552
521,0x007dc9f3,8243699
522,0x007d8c42,8227906
523,0x007d4ece,8212174
524,0x007d1196,8196502
525,0x007cd49a,8180890
526,0x007c97d9,8165337
527,0x007c5b53,8149843
528,0x007c1f07,8134407
529,0x007be2f6,8119030
530,0x007ba71f,8103711
531,0x007b6b82,8088450
532,0x007b301e,8073246
533,0x007af4f3,8058099
534,0x007aba01,8043009
535,0x007a7f48,8027976
536,0x007a44c6,8012998
537,0x007a0a7c,7998076
538,0x0079d06a,7983210
539,0x0079968f,7968399
540,0x00795ceb,7953643
541,0x0079237d,7938941
542,0x0078ea45,7924293
543,0x0078b144,7909700
544,0x00787878,7895160
545,0x00783fe1,7880673
546,0x00780780,7866240
547,0x0077cf53,7851859
548,0x0077975b,7837531
549,0x00775f97,7823255
550,0x00772807,7809031
551,0x0076f0aa,7794858
552,0x0076b981,7780737
553,0x0076828b,7766667
554,0x00764bc8,7752648
555,0x00761537,7738679
556,0x0075ded9,7724761
557,0x0075a8ac,7710892
558,0x007572b2,7697074
559,0x00753ce8,7683304
560,0x00750750,7669584
561,0x0074d1e9,7655913
562,0x00749cb2,7642290
563,0x007467ac,7628716
564,0x007432d6,7615190
565,0x0073fe30,7601712
566,0x0073c9b9,7588281
567,0x00739572,7574898
568,0x0073615a,7561562
569,0x00732d70,7548272
570,0x0072f9b6,7535030
571,0x0072c62a,7521834
572,0x007292cc,7508684
573,0x00725f9b,7495579
574,0x00722c99,7482521
575,0x0071f9c4,7469508
576,0x0071c71c,7456540
577,0x007194a1,7443617
578,0x00716253,7430739
579,0x00713031,7417905
580,0x0070fe3c,7405116
581,0x0070cc72,7392370
582,0x00709ad4,7379668
583,0x00706962,7367010
584,0x0070381c,7354396
585,0x00700700,7341824
586,0x006fd60f,7329295
587,0x006fa549,7316809
588,0x006f74ae,7304366
589,0x006f443c,7291964
590,0x006f13f5,7279605
591,0x006ee3d8,7267288
592,0x006eb3e4,7255012
593,0x006e8419,7242777
594,0x006e5478,7230584
595,0x006e2500,7218432
596,0x006df5b0,7206320
597,0x006dc68a,7194250
598,0x006d978b,7182219
599,0x006d68b5,7170229
600,0x006d3a06,7158278
601,0x006d0b80,7146368
602,0x006cdd21,7134497
603,0x006caee9,7122665
604,0x006c80d9,7110873
605,0x006c52ef,7099119
606,0x006c252c,7087404
607,0x006bf790,7075728
608,0x006bca1a,7064090
609,0x006b9ccb,7052491
610,0x006b6fa1,7040929
611,0x006b429e,7029406
612,0x006b15c0,7017920
613,0x006ae907,7006471
614,0x006abc74,6995060
615,0x006a9006,6983686
616,0x006a63bd,6972349
617,0x006a3799,6961049
618,0x006a0b99,6949785
619,0x0069dfbd,6938557
620,0x0069b406,6927366
621,0x00698873,6916211
622,0x00695d04,6905092
623,0x006931b8,6894008
624,0x00690690,6882960
625,0x0068db8b,6871947
626,0x0068b0aa,6860970
627,0x006885eb,6850027
628,0x00685b4f,6839119
629,0x006830d6,6828246
630,0x00680680,6817408
631,0x0067dc4c,6806604
632,0x0067b23a,6795834
633,0x0067884a,6785098
634,0x00675e7c,6774396
635,0x006734d0,6763728
636,0x00670b45,6753093
637,0x0066e1db,6742491
638,0x0066b893,6731923
639,0x00668f6c,6721388
640,0x00666666,6710886
641,0x00663d80,6700416
642,0x006614bc,6689980
643,0x0065ec17,6679575
644,0x0065c393,6669203
645,0x00659b30,6658864
646,0x006572ec,6648556
647,0x00654ac8,6638280
648,0x006522c3,6628035
649,0x0064fadf,6617823
650,0x0064d319,6607641
651,0x0064ab74,6597492
652,0x006483ed,6587373
653,0x00645c85,6577285
654,0x0064353c,6567228
655,0x00640e11,6557201
656,0x0063e706,6547206
657,0x0063c018,6537240
658,0x00639949,6527305
659,0x00637299,6517401
660,0x00634c06,6507526
661,0x00632591,6497681
662,0x0062ff3a,6487866
663,0x0062d900,6478080
664,0x0062b2e4,6468324
665,0x00628ce5,6458597
666,0x00626703,6448899
